Job title,Job location,Department,Offered salary,Description of the company,Job description,Requirements/qualifications,Offered benefits,"Full-time, part-time, etc.",Experience required,Sector,Job function,fraudulent
Fake Job Title 1859,Remote,Operations,$5000/month,This is a fake company profile for job 1859.,This is a suspicious job description for position 1859.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1483,Remote,Operations,$5000/month,This is a fake company profile for job 1483.,This is a suspicious job description for position 1483.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1186,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1186.,This is a genuine job description for position 1186.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 472,"New York, NY",HR,$3000/month,This is a reputable company profile for job 472.,This is a genuine job description for position 472.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 595,Remote,Operations,$3000/month,This is a reputable company profile for job 595.,This is a genuine job description for position 595.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 322,"New York, NY",HR,$3000/month,This is a reputable company profile for job 322.,This is a genuine job description for position 322.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1418,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1418.,This is a genuine job description for position 1418.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1675,Remote,Operations,$3000/month,This is a reputable company profile for job 1675.,This is a genuine job description for position 1675.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1591,Remote,Operations,$5000/month,This is a fake company profile for job 1591.,This is a suspicious job description for position 1591.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1704,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1704.,This is a genuine job description for position 1704.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 541,Remote,Operations,$5000/month,This is a fake company profile for job 541.,This is a suspicious job description for position 541.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 206,"New York, NY",HR,$3000/month,This is a reputable company profile for job 206.,This is a genuine job description for position 206.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1888,"New York, NY",HR,$5000/month,This is a fake company profile for job 1888.,This is a suspicious job description for position 1888.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1249,Remote,Operations,$5000/month,This is a fake company profile for job 1249.,This is a suspicious job description for position 1249.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 132,"New York, NY",HR,$5000/month,This is a fake company profile for job 132.,This is a suspicious job description for position 132.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1256,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1256.,This is a genuine job description for position 1256.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 300,"New York, NY",HR,$5000/month,This is a fake company profile for job 300.,This is a suspicious job description for position 300.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1227,Remote,Operations,$3000/month,This is a reputable company profile for job 1227.,This is a genuine job description for position 1227.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1919,Remote,Operations,$5000/month,This is a fake company profile for job 1919.,This is a suspicious job description for position 1919.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 465,Remote,Operations,$5000/month,This is a fake company profile for job 465.,This is a suspicious job description for position 465.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 384,"New York, NY",HR,$5000/month,This is a fake company profile for job 384.,This is a suspicious job description for position 384.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 150,"New York, NY",HR,$3000/month,This is a reputable company profile for job 150.,This is a genuine job description for position 150.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 870,"New York, NY",HR,$3000/month,This is a reputable company profile for job 870.,This is a genuine job description for position 870.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1979,Remote,Operations,$3000/month,This is a reputable company profile for job 1979.,This is a genuine job description for position 1979.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 457,Remote,Operations,$5000/month,This is a fake company profile for job 457.,This is a suspicious job description for position 457.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1866,"New York, NY",HR,$5000/month,This is a fake company profile for job 1866.,This is a suspicious job description for position 1866.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 213,Remote,Operations,$5000/month,This is a fake company profile for job 213.,This is a suspicious job description for position 213.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1007,Remote,Operations,$3000/month,This is a reputable company profile for job 1007.,This is a genuine job description for position 1007.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1048,"New York, NY",HR,$5000/month,This is a fake company profile for job 1048.,This is a suspicious job description for position 1048.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 706,"New York, NY",HR,$3000/month,This is a reputable company profile for job 706.,This is a genuine job description for position 706.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1144,"New York, NY",HR,$5000/month,This is a fake company profile for job 1144.,This is a suspicious job description for position 1144.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1597,Remote,Operations,$5000/month,This is a fake company profile for job 1597.,This is a suspicious job description for position 1597.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1988,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1988.,This is a genuine job description for position 1988.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 180,"New York, NY",HR,$3000/month,This is a reputable company profile for job 180.,This is a genuine job description for position 180.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 110,"New York, NY",HR,$3000/month,This is a reputable company profile for job 110.,This is a genuine job description for position 110.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1079,Remote,Operations,$5000/month,This is a fake company profile for job 1079.,This is a suspicious job description for position 1079.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1056,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1056.,This is a genuine job description for position 1056.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1953,Remote,Operations,$5000/month,This is a fake company profile for job 1953.,This is a suspicious job description for position 1953.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 315,Remote,Operations,$3000/month,This is a reputable company profile for job 315.,This is a genuine job description for position 315.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1823,Remote,Operations,$3000/month,This is a reputable company profile for job 1823.,This is a genuine job description for position 1823.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 568,"New York, NY",HR,$3000/month,This is a reputable company profile for job 568.,This is a genuine job description for position 568.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 880,"New York, NY",HR,$3000/month,This is a reputable company profile for job 880.,This is a genuine job description for position 880.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 231,Remote,Operations,$5000/month,This is a fake company profile for job 231.,This is a suspicious job description for position 231.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1412,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1412.,This is a genuine job description for position 1412.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1225,Remote,Operations,$5000/month,This is a fake company profile for job 1225.,This is a suspicious job description for position 1225.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1937,Remote,Operations,$5000/month,This is a fake company profile for job 1937.,This is a suspicious job description for position 1937.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1250,"New York, NY",HR,$5000/month,This is a fake company profile for job 1250.,This is a suspicious job description for position 1250.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 930,"New York, NY",HR,$3000/month,This is a reputable company profile for job 930.,This is a genuine job description for position 930.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 579,Remote,Operations,$5000/month,This is a fake company profile for job 579.,This is a suspicious job description for position 579.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1380,"New York, NY",HR,$5000/month,This is a fake company profile for job 1380.,This is a suspicious job description for position 1380.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 293,Remote,Operations,$5000/month,This is a fake company profile for job 293.,This is a suspicious job description for position 293.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1503,Remote,Operations,$3000/month,This is a reputable company profile for job 1503.,This is a genuine job description for position 1503.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1783,Remote,Operations,$5000/month,This is a fake company profile for job 1783.,This is a suspicious job description for position 1783.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 606,"New York, NY",HR,$3000/month,This is a reputable company profile for job 606.,This is a genuine job description for position 606.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1989,Remote,Operations,$3000/month,This is a reputable company profile for job 1989.,This is a genuine job description for position 1989.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 15,Remote,Operations,$3000/month,This is a reputable company profile for job 15.,This is a genuine job description for position 15.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1262,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1262.,This is a genuine job description for position 1262.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1239,Remote,Operations,$5000/month,This is a fake company profile for job 1239.,This is a suspicious job description for position 1239.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1319,Remote,Operations,$5000/month,This is a fake company profile for job 1319.,This is a suspicious job description for position 1319.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 9,Remote,Operations,$3000/month,This is a reputable company profile for job 9.,This is a genuine job description for position 9.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 890,"New York, NY",HR,$3000/month,This is a reputable company profile for job 890.,This is a genuine job description for position 890.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1149,Remote,Operations,$5000/month,This is a fake company profile for job 1149.,This is a suspicious job description for position 1149.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1552,"New York, NY",HR,$5000/month,This is a fake company profile for job 1552.,This is a suspicious job description for position 1552.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1445,Remote,Operations,$3000/month,This is a reputable company profile for job 1445.,This is a genuine job description for position 1445.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 394,"New York, NY",HR,$3000/month,This is a reputable company profile for job 394.,This is a genuine job description for position 394.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1583,Remote,Operations,$3000/month,This is a reputable company profile for job 1583.,This is a genuine job description for position 1583.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 859,Remote,Operations,$5000/month,This is a fake company profile for job 859.,This is a suspicious job description for position 859.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 539,Remote,Operations,$3000/month,This is a reputable company profile for job 539.,This is a genuine job description for position 539.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1488,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1488.,This is a genuine job description for position 1488.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 808,"New York, NY",HR,$3000/month,This is a reputable company profile for job 808.,This is a genuine job description for position 808.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1415,Remote,Operations,$5000/month,This is a fake company profile for job 1415.,This is a suspicious job description for position 1415.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 799,Remote,Operations,$3000/month,This is a reputable company profile for job 799.,This is a genuine job description for position 799.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1540,"New York, NY",HR,$5000/month,This is a fake company profile for job 1540.,This is a suspicious job description for position 1540.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1816,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1816.,This is a genuine job description for position 1816.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 330,"New York, NY",HR,$5000/month,This is a fake company profile for job 330.,This is a suspicious job description for position 330.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 648,"New York, NY",HR,$5000/month,This is a fake company profile for job 648.,This is a suspicious job description for position 648.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1425,Remote,Operations,$3000/month,This is a reputable company profile for job 1425.,This is a genuine job description for position 1425.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 360,"New York, NY",HR,$5000/month,This is a fake company profile for job 360.,This is a suspicious job description for position 360.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1322,"New York, NY",HR,$5000/month,This is a fake company profile for job 1322.,This is a suspicious job description for position 1322.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 788,"New York, NY",HR,$3000/month,This is a reputable company profile for job 788.,This is a genuine job description for position 788.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1993,Remote,Operations,$3000/month,This is a reputable company profile for job 1993.,This is a genuine job description for position 1993.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1117,Remote,Operations,$3000/month,This is a reputable company profile for job 1117.,This is a genuine job description for position 1117.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1321,Remote,Operations,$3000/month,This is a reputable company profile for job 1321.,This is a genuine job description for position 1321.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1657,Remote,Operations,$5000/month,This is a fake company profile for job 1657.,This is a suspicious job description for position 1657.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1553,Remote,Operations,$3000/month,This is a reputable company profile for job 1553.,This is a genuine job description for position 1553.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 33,Remote,Operations,$3000/month,This is a reputable company profile for job 33.,This is a genuine job description for position 33.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 464,"New York, NY",HR,$3000/month,This is a reputable company profile for job 464.,This is a genuine job description for position 464.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 516,"New York, NY",HR,$5000/month,This is a fake company profile for job 516.,This is a suspicious job description for position 516.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 296,"New York, NY",HR,$5000/month,This is a fake company profile for job 296.,This is a suspicious job description for position 296.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 167,Remote,Operations,$3000/month,This is a reputable company profile for job 167.,This is a genuine job description for position 167.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 863,Remote,Operations,$5000/month,This is a fake company profile for job 863.,This is a suspicious job description for position 863.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 415,Remote,Operations,$3000/month,This is a reputable company profile for job 415.,This is a genuine job description for position 415.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 34,"New York, NY",HR,$3000/month,This is a reputable company profile for job 34.,This is a genuine job description for position 34.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 185,Remote,Operations,$3000/month,This is a reputable company profile for job 185.,This is a genuine job description for position 185.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1023,Remote,Operations,$5000/month,This is a fake company profile for job 1023.,This is a suspicious job description for position 1023.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1241,Remote,Operations,$5000/month,This is a fake company profile for job 1241.,This is a suspicious job description for position 1241.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1302,"New York, NY",HR,$5000/month,This is a fake company profile for job 1302.,This is a suspicious job description for position 1302.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1953,Remote,Operations,$3000/month,This is a reputable company profile for job 1953.,This is a genuine job description for position 1953.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1750,"New York, NY",HR,$5000/month,This is a fake company profile for job 1750.,This is a suspicious job description for position 1750.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1622,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1622.,This is a genuine job description for position 1622.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1243,Remote,Operations,$3000/month,This is a reputable company profile for job 1243.,This is a genuine job description for position 1243.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1550,"New York, NY",HR,$5000/month,This is a fake company profile for job 1550.,This is a suspicious job description for position 1550.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 722,"New York, NY",HR,$3000/month,This is a reputable company profile for job 722.,This is a genuine job description for position 722.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1175,Remote,Operations,$3000/month,This is a reputable company profile for job 1175.,This is a genuine job description for position 1175.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 671,Remote,Operations,$3000/month,This is a reputable company profile for job 671.,This is a genuine job description for position 671.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1332,"New York, NY",HR,$5000/month,This is a fake company profile for job 1332.,This is a suspicious job description for position 1332.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1747,Remote,Operations,$3000/month,This is a reputable company profile for job 1747.,This is a genuine job description for position 1747.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 425,Remote,Operations,$5000/month,This is a fake company profile for job 425.,This is a suspicious job description for position 425.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1557,Remote,Operations,$3000/month,This is a reputable company profile for job 1557.,This is a genuine job description for position 1557.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 867,Remote,Operations,$5000/month,This is a fake company profile for job 867.,This is a suspicious job description for position 867.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1537,Remote,Operations,$5000/month,This is a fake company profile for job 1537.,This is a suspicious job description for position 1537.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 585,Remote,Operations,$5000/month,This is a fake company profile for job 585.,This is a suspicious job description for position 585.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1745,Remote,Operations,$3000/month,This is a reputable company profile for job 1745.,This is a genuine job description for position 1745.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1868,"New York, NY",HR,$5000/month,This is a fake company profile for job 1868.,This is a suspicious job description for position 1868.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 719,Remote,Operations,$3000/month,This is a reputable company profile for job 719.,This is a genuine job description for position 719.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1371,Remote,Operations,$3000/month,This is a reputable company profile for job 1371.,This is a genuine job description for position 1371.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 980,"New York, NY",HR,$5000/month,This is a fake company profile for job 980.,This is a suspicious job description for position 980.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1931,Remote,Operations,$5000/month,This is a fake company profile for job 1931.,This is a suspicious job description for position 1931.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 21,Remote,Operations,$5000/month,This is a fake company profile for job 21.,This is a suspicious job description for position 21.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 611,Remote,Operations,$5000/month,This is a fake company profile for job 611.,This is a suspicious job description for position 611.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
